# Source: GSI Datasets | Cite as: Gruffydd-Jones, J. (2026). GSI Datasets. https://github.com/jjgj/gsi-datasets | Build: 2026-06-23
country,year,Forum,Language Used,Joint statement,Ranking,Implement,Level of public support,Any positivity,China ally level,China_level,China_ally,OECD country or not,China's neighbor or not,BRICS or not,US ally RAND,US arms 2022,China arms 2022,Vdem,EDI,Unnamed: 20,country.1
Chad,2025.0,FOCAC,“Welcomes and supports”,0,2,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Autocracy,1.76,,Chad
Chile,2023.0,Joint Statement,"""Appreciates and affirms""",1,2,Not join,Noncommittal,1.0,Comprehensive strategic partnership,4.0,1.0,Yes,No,No,1,0.0,0.0,Liberal Democracy,7.98,,Chile
Colombia,2023.0,Joint Statement,"""Welcomes""",1,2,Not join,Noncommittal,1.0,Strategic partnership,2.0,1.0,No,No,No,1,49.0,0.0,Electoral Democracy,6.55,,Colombia
Comoros,2025.0,FOCAC,“Welcomes and supports” ,0,2,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Autocracy,2.81,,Comoros
Congo,2025.0,FOCAC,“Welcomes and supports” ,0,2,Not join,Multilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,2.79,,Congo
Costa Rica,2022.0,Bilateral meeting,"""Highly appreciates and actively supports""",0,4,Join,Bilateral support,1.0,Strategic partnership,2.0,1.0,Yes,No,No,1,0.0,0.0,Liberal Democracy,8.29,,Costa Rica
Côte d'Ivoire,2025.0,FOCAC,"""Supports"" ",0,2,Not join,Bilateral support,1.0,,0.0,0.0,No,No,No,0,2.0,6.0,Electoral Autocracy,4.24,,Côte d'Ivoire
Croatia,,,,0,0,Not join,,,Comprehensive cooperative partnership,1.0,1.0,No,No,No,1,29.0,0.0,Electoral Democracy,6.5,,Croatia
Cuba,2022.0,Joint Statement,"""Supports""",1,2,Not join,Bilateral support,1.0,,0.0,0.0,No,No,No,1,0.0,0.0,Closed Autocracy,2.65,,Cuba
Cyprus,,,,0,0,Not join,,,Strategic partnership,2.0,1.0,No,No,No,0,0.0,0.0,Liberal Democracy,7.38,,Cyprus
Czechia,,,,0,0,Not join,,,Strategic partnership,2.0,1.0,Yes,No,No,1,0.0,0.0,Liberal Democracy,7.97,,Czechia
Democratic Republic of Congo,2023.0,Joint Statement,"“Willing to strengthen cooperation""",1,4,Join,Bilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,1.68,,Democratic Republic of Congo
Denmark,,,,0,0,Not join,,,Comprehensive strategic partnership,4.0,1.0,Yes,No,No,1,134.0,0.0,Liberal Democracy,9.28,,Denmark
Djibouti,2024.0,Joint Statement,"""Welcomes and supports""",1,2,Not join,Multilateral support,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,2.7,,Djibouti
Dominica,2025.0,Bilateral meeting,"""Support and welcome""",0,2,Not join,Bilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Dominica
Dominican Republic,,,,0,0,Not join,,,,0.0,0.0,No,No,No,1,5.0,0.0,Electoral Democracy,6.39,,Dominican Republic
Ecuador,,,,0,0,Not join,,,Comprehensive strategic partnership,4.0,1.0,No,No,No,0,0.0,0.0,Electoral Democracy,5.69,,Ecuador
Egypt,2023.0,China–Arab Forum,“Supports”,0,2,Not join,Bilateral support,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,Yes,1,42.0,0.0,Electoral Autocracy,2.93,,Egypt
El Salvador,,,,0,0,Not join,,,,0.0,0.0,No,No,No,1,7.0,0.0,Electoral Autocracy,5.06,,El Salvador
Equatorial Guinea,2024.0,Joint Statement,"""Highly appreciates and strongly supported""",1,3,Not join,Bilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,1.92,,Equatorial Guinea
Eritrea,2025.0,FOCAC,“Welcomes and supports”,0,2,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Closed Autocracy,1.97,,Eritrea
Estonia,,,,0,0,Not join,,,,0.0,0.0,Yes,No,No,1,0.0,0.0,Liberal Democracy,7.96,,Estonia
Eswatini,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,0.0,0.0,Closed Autocracy,3.01,,Eswatini
Ethiopia,2023.0,Joint Statement,"“Appreciates and supports""",1,2,Not join,Bilateral support,1.0,All-weather strategic partnership,6.0,1.0,No,No,Yes,0,0.0,43.0,Electoral Autocracy,3.37,,Ethiopia
Fiji,2024.0,Joint Statement,“Acknowledges”,1,1,Not join,Noncommittal,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,No,0,0.0,0.0,Electoral Democracy,5.39,,Fiji
Finland,,,,0,0,Not join,,,New cooperative partnership,1.0,1.0,Yes,No,No,0,0.0,0.0,Liberal Democracy,9.29,,Finland
France,,,,0,0,Not join,,,Comprehensive strategic partnership,4.0,1.0,Yes,No,No,1,10.0,0.0,Liberal Democracy,8.07,,France
Gabon,2023.0,Joint Statement,"“Willing to strengthen cooperation...on the implementation of""",1,4,Join,Bilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,2.18,,Gabon
Gambia,2025.0,FOCAC,"""Supports"" ",0,2,Not join,Bilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Democracy,4.47,,Gambia
Georgia,2023.0,Joint Statement,"""Supports""",1,2,Not join,Bilateral support,1.0,,0.0,0.0,No,No,No,0,2.0,0.0,Electoral Democracy,5.2,,Georgia
Germany,,,,0,0,Not join,,,All-round strategic partnership,4.0,1.0,Yes,No,No,1,197.0,0.0,Liberal Democracy,8.8,,Germany
Ghana,2025.0,FOCAC,“Welcomes and supports” ,0,2,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Democracy,6.24,,Ghana
Greece,,,,0,0,Not join,,,Comprehensive strategic partnership,4.0,1.0,Yes,No,No,1,124.0,0.0,Electoral Democracy,7.97,,Greece
Greenland,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,,,,,,GREENLAND (DEN.)
Grenada,2023.0,Bilateral meeting,"""Willing to actively participate in""",0,4,Join,Bilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Grenada
Guatemala,,,,0,0,Not join,,,,0.0,0.0,No,No,No,1,10.0,0.0,Electoral Democracy,4.68,,Guatemala
Guinea,2025.0,FOCAC,“Welcomes and supports” ,0,2,Not join,Bilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Closed Autocracy,2.15,,Guinea
Guinea-Bissau,2024.0,Joint Statement,"""Highly appreciates and firmly supports""",1,3,Not join,Bilateral support,1.0,Strategic partnership,2.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,2.03,,Guinea-Bissau
Guyana,2023.0,Joint Statement,"""Applauded""",1,2,Not join,Noncommittal,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Autocracy,6.26,,Guyana
Haiti,,,,0,0,Not join,,,,0.0,0.0,No,No,No,1,0.0,0.0,Closed Autocracy,2.81,,Haiti
Honduras,2023.0,"Bilateral meeting, joint statement","""Deeply admires""",1,3,Not join,Noncommittal,1.0,,0.0,0.0,No,No,No,1,0.0,0.0,Electoral Democracy,4.98,,Honduras
Hungary,2024.0,Joint Statement,"""Attaches importance to""",1,2,Not join,Noncommittal,1.0,(New era and all-weather) comprehensive strategic partnership,6.0,1.0,Yes,No,No,1,0.0,0.0,Electoral Autocracy,6.51,,Hungary
Iceland,,,,0,0,Not join,,,,0.0,0.0,Yes,No,No,1,0.0,0.0,Liberal Democracy,9.52,,Iceland
India,,,,0,0,Not join,,,Strategic cooperative partnership,3.0,1.0,No,Yes,Yes,0,234.0,0.0,Electoral Autocracy,7.04,,India
Indonesia,2024.0,"Bilateral meeting, joint statement, Multilateral Belt and Road forum","""Supports"" ",1,2,Not join,Bilateral support,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,No,0,11.0,0.0,Electoral Autocracy,6.44,,Indonesia
Iran,2023.0,Joint Statement,"""Supports""",1,2,Not join,Bilateral support,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,Yes,0,0.0,0.0,Closed Autocracy,1.96,,Iran
Iraq,2022.0,Bilateral meeting,"""Pay attention to""",0,1,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,11.0,0.0,Electoral Autocracy,3.13,,Iraq
Ireland,,,,0,0,Not join,,,Innovative comprehensive partnership,2.0,1.0,Yes,No,No,0,0.0,0.0,Liberal Democracy,9.13,,Ireland
Israel,,,,0,0,Not join,,,Comprehensive strategic partnership,4.0,1.0,Yes,No,No,1,430.0,0.0,Liberal Democracy,7.93,,Israel
Italy,,,,0,0,Not join,,,Strategic partnership,2.0,1.0,Yes,No,No,1,214.0,0.0,Liberal Democracy,7.69,,Italy
Jamaica,2026.0,Joint Statement,"""Welcomes this and is willing to work with China to actively explore the implementation""",1,4,Join,Bilateral support,1.0,Strategic partnership,2.0,1.0,No,No,No,0,0.0,0.0,Electoral Democracy,7.13,,Jamaica
Japan,,,,0,0,Not join,,,,0.0,0.0,Yes,Yes,No,1,1402.0,0.0,Liberal Democracy,8.33,,Japan
Jordan,2022.0,Bilateral meeting,"""Pay attention to""",0,1,Not join,Multilateral support,1.0,Strategic partnership,2.0,1.0,No,No,No,1,23.0,0.0,Closed Autocracy,3.17,,Jordan
Kazakhstan,2025.0,"Bilateral meeting, Multilateral SCO Summits, China-Central Asia summits","""Actively champions""",0,4,Join,Bilateral support,1.0,(Permanent) comprehensive strategic partnership,4.0,1.0,No,Yes,No,0,0.0,0.0,Electoral Autocracy,2.91,,Kazakhstan
Kenya,2025.0,"Bilateral meeting, joint statement; Multilateral FOCAC summit","""Commends and actively supports""",1,3,Not join,Bilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Electoral Democracy,5.05,,Kenya
Kiribati,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Kiribati
Kuwait,2023.0,Bilateral meeting,“Firmly support and actively participate in”,0,4,Join,Bilateral support,1.0,,0.0,0.0,No,No,No,1,1310.0,0.0,Closed Autocracy,3.5,,Kuwait
Kyrgyzstan,2025.0,Joint Statement,"""Highly appreciates and supports""",1,3,Not join,Bilateral support,1.0,(New era) Comprehensive strategic partnership,4.0,1.0,No,Yes,No,0,0.0,0.0,Electoral Autocracy,3.27,,Kyrgyzstan
Laos,2025.0,"Bilateral meeting, joint statement","""Attaches great importance to"" ",1,3,Not join,Noncommittal,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,Yes,No,0,0.0,0.0,Closed Autocracy,1.71,,Laos
Latvia,,,,0,0,Not join,,,,0.0,0.0,Yes,No,No,1,15.0,0.0,Liberal Democracy,7.37,,Latvia
Lebanon,,,,0,1,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,30.0,0.0,Electoral Autocracy,3.64,,Lebanon
Lesotho,2025.0,FOCAC,“Welcomes and supports”,0,2,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Democracy,6.23,,Lesotho
Liberia,2025.0,FOCAC,"""Highly praised""",0,3,Not join,Noncommittal,1.0,Comprehensive cooperative partnership,1.0,1.0,No,No,No,0,0.0,0.0,Electoral Democracy,5.57,,Liberia
Libya,2025.0,FOCAC,“Welcomes and supports” ,0,2,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Closed Autocracy,2.31,,Libya
Liechtenstein,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Liechtenstein
Lithuania,,,,0,0,Not join,,,,0.0,0.0,Yes,No,No,1,42.0,0.0,Electoral Democracy,7.31,,Lithuania
Luxembourg,,,,0,0,Not join,,,,0.0,0.0,Yes,No,No,1,0.0,0.0,Liberal Democracy,8.81,,Luxembourg
Madagascar,2025.0,FOCAC,“Welcomes and supports” ,0,2,Not join,Multilateral support,1.0,Comprehensive cooperative partnership,1.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,5.06,,Madagascar
Malawi,2025.0,FOCAC,“Welcomes and supports”,0,2,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,16.0,Electoral Democracy,6.1,,Malawi
Malaysia,2025.0,"Bilateral meetiing, joint statement","""Ready... to actively participate in""",1,4,Join,Bilateral support,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,No,0,26.0,28.0,Electoral Democracy,7.11,,Malaysia
Maldives,2024.0,Joint Statement,"""Explore ways towards implementing""",1,4,Join,Bilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Electoral Democracy,,,Maldives
Mali,2025.0,FOCAC,"""Willing to continuously strengthen cooperation""",0,4,Join,Bilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Closed Autocracy,2.4,,Mali
Malta,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Democracy,7.7,,Malta
Marshall Islands,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Marshall Islands
Mauritania,2025.0,FOCAC,"""Highly appreciates and actively supports""",0,3,Not join,Bilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Autocracy,3.84,,Mauritania
Mauritius,2025.0,FOCAC,“Welcomes and supports” ,0,2,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Democracy,8.23,,Mauritius
Mexico,,,,0,0,Not join,,,Comprehensive strategic partnership,4.0,1.0,Yes,No,No,0,0.0,0.0,Electoral Democracy,5.25,,Mexico
Micronesia,2024.0,Joint Statement,"“Both sides will explore cooperation under the framework of""",1,1,Not join,Noncommittal,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,No,0,,,,,,Micronesia
Moldova,,,,0,0,Not join,,,,,,,,,0,0.0,0.0,Electoral Democracy,6.23,,Moldova
Monaco,,,,0,0,Not join,,,,,,,,,0,0.0,0.0,,,,Monaco
Mongolia,2023.0,Bilateral meeting,“Resolutely supports”,0,3,Not join,Bilateral support,1.0,Comprehensive strategic partnership,4.0,1.0,No,Yes,No,0,0.0,0.0,Electoral Democracy,6.48,,Mongolia
Montenegro,,,,0,0,Not join,,,,0.0,0.0,No,No,No,1,2.0,0.0,Electoral Democracy,6.45,,Montenegro
Morocco,2025.0,FOCAC,“Welcomes and supports” ,0,2,Not join,Multilateral support,1.0,Strategic partnership,2.0,1.0,No,No,No,1,349.0,6.0,Closed Autocracy,4.97,,Morocco
Mozambique,2025.0,FOCAC,“Welcomes and supports” ,0,2,Not join,Multilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,3.38,,Mozambique
Myanmar,2025.0,Bilateral meeting,"""Willingness to work with China and other countries to implement the GSI""",0,4,Join,Bilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,Yes,No,0,0.0,102.0,Closed Autocracy,0.96,,Myanmar
Namibia,2025.0,FOCAC,"""Endorsed and joined""",0,4,Join,Bilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Electoral Democracy,6.48,,Namibia
Nepal,,,,0,0,Not join,,,Strategic cooperative relationship,3.0,1.0,No,Yes,No,0,0.0,0.0,Electoral Democracy,4.49,,Nepal
Netherlands,,,,0,0,Not join,,,Comprehensive cooperative partnership,1.0,1.0,Yes,No,No,1,708.0,0.0,Liberal Democracy,9,,Netherlands
New Zealand,,,,0,0,Not join,,,Comprehensive strategic partnership,4.0,1.0,Yes,No,No,1,130.0,0.0,Liberal Democracy,9.61,,New Zealand
Nicaragua,2023.0,Bilateral meeting,“Supports”,0,2,Not join,Bilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Autocracy,2.26,,Nicaragua
Niger,2025.0,FOCAC,“Welcomes and supports”,0,2,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,11.0,0.0,Closed Autocracy,1.95,,Niger
Nigeria,2025.0,FOCAC,"""Applauds and supports""",0,2,Not join,Bilateral support,1.0,Strategic partnership,2.0,1.0,No,No,No,0,0.0,35.0,Electoral Democracy,4.1,,Nigeria
North Korea,2022.0,Public statement (via Foreign Ministry),“Fully supports”,0,3,Not join,Bilateral support,1.0,,0.0,0.0,No,Yes,No,0,0.0,0.0,Closed Autocracy,1.08,,North Korea
North Macedonia,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,1.0,0.0,Electoral Democracy,6.1,,North Macedonia
Norway,,,,0,0,Not join,,,,0.0,0.0,Yes,No,No,1,692.0,0.0,Liberal Democracy,9.81,,Norway
Oman,2022.0,Bilateral meeting,"""Pay attention to""",0,1,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,1,0.0,0.0,Closed Autocracy,3.12,,Oman
Pakistan,2022.0,Joint Statement,“Strong support”,1,3,Not join,Bilateral support,1.0,All-weather strategic cooperative partnership,6.0,1.0,No,Yes,No,1,0.0,1322.0,Electoral Autocracy,4.13,,Pakistan
Palau,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Palau
Palestine,2023.0,Joint Statement,"""Highly appreciates""",1,3,Not join,Noncommittal,1.0,Strategic partnership,2.0,1.0,No,No,No,0,,,Electoral Autocracy,3.47,,Palestine
Panama,,,,0,0,Not join,,,,0.0,0.0,No,No,No,1,0.0,0.0,Electoral Democracy,6.91,,Panama
Papua New Guinea,2024.0,Joint Statement,"""Welcomes and supports""",1,2,Not join,Bilateral support,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,5.97,,Papua New Guinea
Paraguay,,,,0,0,Not join,,,,0.0,0.0,No,No,No,1,0.0,0.0,Electoral Democracy,5.89,,Paraguay
Peru,2023.0,Joint Statement,"""Supports""",1,2,Not join,Bilateral support,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,No,1,14.0,0.0,Electoral Democracy,5.81,,Peru
Philippines,2023.0,Joint Statement,"""Explore possible cooperation""",1,1,Not join,Noncommittal,1.0,,0.0,0.0,No,Yes,No,1,4.0,0.0,Electoral Autocracy,6.66,,Philippines
Poland,,,,0,0,Not join,,,Comprehensive strategic partnership,4.0,1.0,Yes,No,No,1,171.0,0.0,Electoral Democracy,7.04,,Poland
Portugal,,,,0,0,Not join,,,Comprehensive strategic partnership,4.0,1.0,Yes,No,No,1,0.0,0.0,Liberal Democracy,7.95,,Portugal
Qatar,2022.0,Bilateral meeting,"""Pay attention to""",0,1,Not join,Multilateral support,1.0,Strategic partnership,2.0,1.0,No,No,No,1,1312.0,0.0,Closed Autocracy,3.65,,Qatar
Romania,,,,0,0,Not join,,,Comprehensive (friendly) cooperative partnership,1.0,1.0,No,No,No,1,168.0,0.0,Electoral Democracy,6.45,,Romania
Russia,2023.0,Joint Statement,"""Jointly implementing""",1,4,Join,Bilateral support,1.0,Comprehensive strategic coordinated partnership in a new era,7.0,1.0,No,Yes,Yes,0,1.0,5.0,Electoral Autocracy,2.22,,Russia
Rwanda,2025.0,FOCAC,"""Supports…ready to jointly implement""",0,4,Join,Bilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Electoral Autocracy,3.34,,Rwanda
Saint Kitts and Nevis,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Saint Kitts and Nevis
Saint Lucia,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Saint Lucia
Saint Vincent and the Grenadines,,,,0,0,Not join,,,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Saint Vincent and the Grenadines
Samoa,2024.0,Joint Statement,"""Welcomes""",1,2,Not join,Noncommittal,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,,,,Samoa
San Marino,,,,0,0,Not join,,,,,,,,,0,0.0,0.0,,,,San Marino
São Tomé and Príncipe,2025.0,FOCAC,"""Highly appreciates and actively supports""",0,3,Not join,Bilateral support,1.0,Comprehensive cooperative partnership,1.0,1.0,No,No,No,0,0.0,0.0,Electoral Democracy,,,São Tomé and Príncipe
Saudi Arabia,2023.0,China–Arab Forum,“Appreciates”,0,2,Not join,Noncommittal,1.0,Comprehensive strategic partnership,4.0,1.0,No,No,Yes,1,2006.0,20.0,Closed Autocracy,2.08,,Saudi Arabia
Senegal,2024.0,Joint Statement,"""Willing to carry forward the friendly tradition and in the framework of solidarity… ""ready to implement""",1,4,Join,Bilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Electoral Democracy,5.93,,Senegal
Serbia,2024.0,"Bilateral meeting, joint statement","""Ready to implement""",1,4,Join,Bilateral support,,Comprehensive strategic partnership,4.0,1.0,No,No,No,0,2.0,157.0,Electoral Autocracy,6.26,,Serbia
Seychelles,2025.0,FOCAC,“Welcomes and supports” ,0,2,Not join,Multilateral support,1.0,,0.0,0.0,No,No,No,0,0.0,0.0,Liberal Democracy,,,Seychelles
Sierra Leone,2025.0,FOCAC,"""Willing to strengthen cooperation on the implementation of""",0,4,Join,Bilateral support,1.0,Comprehensive strategic cooperative partnership,5.0,1.0,No,No,No,0,0.0,0.0,Electoral Autocracy,4.44,,Sierra Leone
