# Source: GSI Datasets | Cite as: Gruffydd-Jones, J. (2026). GSI Datasets. https://github.com/jjgj/gsi-datasets | Build: 2026-06-23
publication,ID,Date,Newspaper,Headline,snippet,sent_score
Xinhua,18,2022-04-27,Xinhua,Xiconomics: China strives to push for peace and development in stormy times,"by Xinhua writer Wang Xinyi BEIJING, April 27 (Xinhua) -- The Russia-Ukraine conflict is one shock too many for the world economy struggling to get back on its feet from the COVID-19 pandemic. Rising energy prices have p",0.108
MFA,5,2022-04-29,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Hosts the Foreign Ministers' Meeting Among China and the Caribbean Countries Having Diplomatic Relations with China,"On April 29, 2022, the Foreign Ministers' Meeting Among China and the Caribbean Countries Having Diplomatic Relations with China was held via video link. State Councilor and Foreign Minister Wang Yi and Acting Prime Mini",0.174
MFA,6,2022-04-29,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Zhao Lijian's Regular Press Conference on April 29 2022,"CCTV: On April 28, the UN Security Council's President issued a press statement to condemn the terrorist attack in the University of Karachi, Pakistan. Do you have any comment on this? Zhao Lijian: On April 28, the Secur",0.051
Xinhua,19,2022-04-29,Xinhua,China willing to deepen mutually beneficial cooperation with Caribbean countries: FM,"BEIJING, April 29 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi said on Friday that China stands ready to work with Caribbean countries to promote peace and development, deepen mutually beneficial coop",0.162
Xinhua,20,2022-04-29,Xinhua,Xinhua Commentary: China's stance on Ukraine serves world's fundamental interests,"BEIJING, April 29 (Xinhua) -- The Ukraine crisis has dragged on for over two months with no immediate solution in sight. Though the situation unfolding is worrisome, endeavors to end conflicts and restore peace have neve",0.064
MFA,7,2022-04-30,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Puts Forward Four Suggestions on Developing China-Caribbean Countries Relations,"On April 29, 2022, State Councilor and Foreign Minister Wang Yi and Acting Prime Minister of Dominica Reginald Austrie co-hosted the Foreign Ministers' Meeting Among China and the Caribbean Countries Having Diplomatic Re",0.112
MFA,8,2022-05-06,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Holds Virtual Meeting with Indonesia's Coordinator for Cooperation with China and Coordinating Minister Luhut Binsar Pandjaitan,"On May 6, 2022, State Councilor and Foreign Minister Wang Yi held a virtual meeting with Indonesia's Coordinator for Cooperation with China and Coordinating Minister Luhut Binsar Pandjaitan. Wang Yi said, under the strat",0.153
Xinhua,21,2022-05-06,Xinhua,"China, Indonesia vow to safeguard peace, stability in East Asia","BEIJING, May 6 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi met with Indonesia's Coordinator for Cooperation with China and Coordinating Minister Luhut Binsar Pandjaitan via video link on Friday, with",0.183
Xinhua,22,2022-05-06,Xinhua,Xinhua Commentary: Int'l system with UN at core must be firmly upheld in trying times,"UNITED NATIONS, May 5 (Xinhua) -- United Nations (UN) Secretary-General Antonio Guterres recently visited Russia and Ukraine to mediate in the ongoing conflict, injecting new impetus into international efforts to resolve",0.053
Xinhua,23,2022-05-07,Xinhua,Global Security Initiative offers solution to eliminating peace deficit: Chinese vice FM,"BEIJING, May 6 (Xinhua) -- Chinese Vice Foreign Minister Le Yucheng on Friday said the Global Security Initiative carried forward the spirit of the UN Charter and offered a fundamental solution to eliminating the peace d",0.143
