# Source: GSI Datasets | Cite as: Gruffydd-Jones, J. (2026). GSI Datasets. https://github.com/jjgj/gsi-datasets | Build: 2026-06-23
publication,ID,Date,Newspaper,Headline,snippet,sent_score
MFA,139,2022-09-16,Ministry of Foreign Affairs of the People's Republic of China - News (English),President Xi Jinping Meets with Belarusian President Alexander Lukashenko,"On the afternoon of September 15 local time, President Xi Jinping met with Belarusian President Alexander Lukashenko at Forumlar Majmuasi Complex in Samarkand. The two presidents decided to upgrade the bilateral relation",0.228
MFA,140,2022-09-16,Ministry of Foreign Affairs of the People's Republic of China - News (English),Ride on the Trend of the Times and Enhance Solidarity and Cooperation to Embrace a Better Future,"Statement by H.E. Xi Jinping President of the People's Republic of China At the 22nd Meeting of the Council of Heads of State of The Shanghai Cooperation Organization Samarkand, 16 September 2022 Your Excellency Preside",0.182
MFA,141,2022-09-16,Ministry of Foreign Affairs of the People's Republic of China - News (English),President Xi Jinping Attends the 22nd Meeting of the SCO Council of Heads of State and Delivers Important Remarks,"On 16 September local time, President Xi Jinping attended the 22nd Meeting of the Council of Heads of State of the Shanghai Cooperation Organization (SCO) at the Samarkand Congress Center. The meeting was chaired by Pres",0.154
MFA,142,2022-09-16,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Mao Ning's Regular Press Conference on September 16 2022,CCTV: President Xi Jinping arrived in Samarkand and began his state visit to Uzbekistan yesterday. Could you share more information with us? Mao Ning: At the invitation of President Shavkat Mirziyoyev of the Republic of ,0.065
Xinhua,163,2022-09-16,Xinhua,Xi meets with Azerbaijani President Aliyev,"SAMARKAND, Uzbekistan, Sept. 15 (Xinhua) -- Chinese President Xi Jinping met with Azerbaijani President Ilham Aliyev on Thursday afternoon at Forumlar Majmuasi Complex in Samarkand. Xi noted that this year marks the 30th",0.194
Xinhua,164,2022-09-16,Xinhua,"China, Belarus issue joint statement on establishing all-weather comprehensive strategic partnership","SAMARKAND, Uzbekistan, Sept. 15 (Xinhua) -- China and Belarus on Thursday issued a joint statement on establishing an all-weather comprehensive strategic partnership. Chinese President Xi Jinping on Thursday met with Bel",0.227
Xinhua,165,2022-09-16,Xinhua,1st LD Writethru: Xi meets Pakistani PM Muhammad Shehbaz Sharif,"SAMARKAND, Uzbekistan, Sept. 16 (Xinhua) -- Chinese President Xi Jinping met with Pakistani Prime Minister Muhammad Shehbaz Sharif on Friday Morning at Forumlar Majmuasi Complex in Samarkand. Xi pointed out that China an",0.158
Xinhua,166,2022-09-16,Xinhua,2nd LD Writethru: Xi meets with Iranian President Ebrahim Raisi,"SAMARKAND, Uzbekistan, Sept. 16 (Xinhua) -- Chinese President Xi Jinping met with Iranian President Ebrahim Raisi on Friday morning at Forumlar Majmuasi Complex in Samarkand. Xi pointed out that China and Iran enjoy a lo",0.203
Xinhua,167,2022-09-16,Xinhua,Xi meets with Belarusian President Lukashenko,"SAMARKAND, Uzbekistan, Sept. 15 (Xinhua) -- Chinese President Xi Jinping on Thursday afternoon met with Belarusian President Alexander Lukashenko at Forumlar Majmuasi Complex in Samarkand. The two presidents decided to u",0.236
Xinhua,168,2022-09-16,Xinhua,"China, ASEAN to build closer community with shared future: vice premier","NANNING, Sept. 16 (Xinhua) -- Chinese Vice Premier Han Zheng on Friday called on China and the Association of Southeast Asian Nations (ASEAN) to take the opportunity of the implementation of the Regional Comprehensive Ec",0.097
Xinhua,169,2022-09-16,Xinhua,Xi meets with Mongolian President Khurelsukh,"SAMARKAND, Uzbekistan, Sept. 15 (Xinhua) -- Chinese President Xi Jinping met with his Mongolian counterpart, Ukhnaa Khurelsukh, at Forumlar Majmuasi Complex in Samarkand on Thursday afternoon. Xi pointed out that China-M",0.234
Xinhua,170,2022-09-16,Xinhua,Full text of Xi's speech at SCO Samarkand summit,"SAMARKAND, Uzbekistan, Sept. 16 (Xinhua) -- Chinese President Xi Jinping delivered a speech at the 22nd meeting of the Council of Heads of State of the Shanghai Cooperation Organization (SCO) here on Friday. The followin",0.195
MFA,143,2022-09-17,Ministry of Foreign Affairs of the People's Republic of China - News (English),A Trip that Pointed the Way Forward in Turbulent Times and Reinvigorated the Ancient Silk Road,"From September 14 to 16, 2022, President Xi Jinping attended the 22nd Meeting of the Council of Heads of State of the Shanghai Cooperation Organization (SCO) in Samarkand and paid state visits to Kazakhstan and Uzbekista",0.164
Xinhua,171,2022-09-17,Xinhua,"Xinhua Headlines: SCO grows from regional body to global force for common development, security","SAMARKAND, Uzbekistan, Sept. 16 (Xinhua) -- As Chinese President Xi Jinping and other world leaders gathered here on Friday for the 22nd meeting of the Council of Heads of State of the Shanghai Cooperation Organization (",0.114
Xinhua,172,2022-09-17,Xinhua,"Xinhua Headlines: SCO grows from regional body to global force for common development, security","Chinese President Xi Jinping poses for a group photo with other leaders and guests ahead of the 22nd meeting of the Council of Heads of State of the Shanghai Cooperation Organization (SCO) in Samarkand, Uzbekistan, Sept.",0.106
Xinhua,173,2022-09-17,Xinhua,"Xinhua Headlines: SCO injects more positivity into regional stability, development as Xi's proposals win hearts of int'l community","BEIJING, Sept. 17 (Xinhua) -- Chinese President Xi Jinping just concluded his two-nation trip on late Friday after wrapping up attendance to the 22nd meeting of the Council of Heads of State of the Shanghai Cooperation O",0.127
Xinhua,174,2022-09-17,Xinhua,Top Chinese legislator pays official goodwill visit to South Korea,"SEOUL, Sept. 17 (Xinhua) -- Li Zhanshu, chairman of China's National People's Congress (NPC) Standing Committee, paid an official goodwill visit to South Korea from Thursday to Saturday, at the invitation of South Korea'",0.187
Xinhua,175,2022-09-17,Xinhua,"Xinhua Headlines: SCO injects more positivity into regional stability, development as Xi's proposals win hearts of int'l community"," A man rides past a logo of the 22nd meeting of the Council of Heads of State of the Shanghai Cooperation Organization (SCO) in Samarkand, Uzbekistan on Sept. 12, 2022. (Xinhua/Bai Xueqi)* The successful experience of SC",0.129
Xinhua,176,2022-09-17,Xinhua,1st LD Writethru: Leaders of SCO member states sign Samarkand Declaration,"SAMARKAND, Uzbekistan, Sept. 16 (Xinhua) -- Leaders of the Shanghai Cooperation Organization (SCO) member states on Friday signed and released here the Samarkand Declaration of the Council of Heads of State of the SCO. T",0.088
Xinhua,177,2022-09-18,Xinhua,"Interview: China plays important role in multiple areas of cooperation in SCO, says Pakistani PM","ISLAMABAD, Sept. 18 (Xinhua) -- As a founding member of the Shanghai Cooperation Organization (SCO), China has played an important role in multiple areas of cooperation in the SCO, Pakistani Prime Minister Shahbaz Sharif",0.119
Xinhua,178,2022-09-18,Xinhua,"1st LD-Writethru-Xinhua Headlines: SCO injects more positivity into regional stability, development as Xi's proposals win hearts of int'l community","* The successful experience of SCO is adhering to political trust, win-win cooperation, equality between nations, openness and inclusiveness as well as equity and justice.* Xi's visits to Kazakhstan and Uzbekistan on his",0.129
Xinhua,179,2022-09-19,Xinhua,Xinhua Commentary: SCO en route to promising future with Shanghai Spirit as guide,"BEIJING, Sept. 19 (Xinhua) -- Chinese President Xi Jinping has just wrapped up his two-nation trip to Kazakhstan and Uzbekistan and attendance at the 22nd meeting of the Council of Heads of State of the Shanghai Cooperat",0.193
MFA,144,2022-09-20,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Meets with Cuban Foreign Minister Bruno Rodríguez Parrilla,"On September 19, 2022 local time, State Councilor and Foreign Minister Wang Yi met with Cuban Foreign Minister Bruno Rodríguez Parrilla on the sidelines of the United Nations General Assembly in New York. Wang Yi said th",0.229
MFA,145,2022-09-20,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Meets with Nicaraguan Foreign Minister Denis Moncada,"On September 19, 2022 local time, State Councilor and Foreign Minister Wang Yi met with Nicaraguan Foreign Minister Denis Moncada on the sidelines of the General Debate of the 77th Session of the United Nations General A",0.165
MFA,146,2022-09-20,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on September 20 2022,"CCTV: According to reports, State Councilor and Foreign Minister Wang Yi had an exchange with representatives of the National Committee on US-China Relations, the US-China Business Council and the US Chamber of Commerce,",0.072
Xinhua,180,2022-09-20,Xinhua,China calls for stronger alignment of development strategies with Cuba: Chinese FM,"NEW YORK, Sept. 19 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi met with Cuban Minister of Foreign Affairs Bruno Rodriguez here Monday, hailing the bilateral ties between Beijing and Havana while stre",0.213
Xinhua,181,2022-09-20,Xinhua,Chinese FM meets Nicaraguan counterpart on sidelines of UNGA session,"NEW YORK, Sept. 19 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi met here with Nicaraguan Foreign Minister Denis Moncada on Monday, during which both sides agreed to seize the opportunity presented by ",0.139
MFA,147,2022-09-21,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Attends the Second Middle East Security Forum,"On September 21, 2022 local time, State Councilor and Foreign Minister Wang Yi attended the opening ceremony of the second Middle East Security Forum via video link. Wang Yi said, three years ago, China held the first Mi",0.126
Xinhua,182,2022-09-21,Xinhua,Chinese FM makes four proposals for security in Middle East,"BEIJING, Sept. 21 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi on Wednesday made four proposals for the promotion of peace and stability in the Middle East. Wang put forward the proposals when attendi",0.198
Xinhua,183,2022-09-21,Xinhua,Xi sends congratulatory letter to commemorative event for Int'l Day of Peace 2022,"BEIJING, Sept. 21 (Xinhua) -- Chinese President Xi Jinping sent a congratulatory letter to the commemorative event held here on Wednesday for the International Day of Peace 2022, which falls on Sept. 21. In his letter, X",0.205
Xinhua,184,2022-09-21,Xinhua,Chinese VP attends commemorative event for Int'l Day of Peace 2022,"BEIJING, Sept. 21 (Xinhua) -- China is ready to work with the international community to jointly implement the Global Security Initiative, Chinese Vice President Wang Qishan said on Wednesday while attending the commemor",0.225
MFA,148,2022-09-22,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Meets with Russian Foreign Minister Sergey Lavrov,"On September 21, 2022 local time, State Councilor and Foreign Minister Wang Yi met with Russian Foreign Minister Sergey Lavrov on the sidelines of the United Nations General Assembly in New York. Lavrov wishes the 20th N",0.169
MFA,149,2022-09-22,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Zhao Lijian's Regular Press Conference on September 22 2022,"MASTV: World Bank President David Malpass said recently that """"China's unwillingness to deliver more stimulus during the current international slowdown is putting more pressure on the US to support international growth""""",0.035
Xinhua,185,2022-09-22,Xinhua,Chinese FM meets Russian counterpart,"UNITED NATIONS, Sept. 21 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi met here on Wednesday with Russian Foreign Minister Sergei Lavrov on the sidelines of the ongoing 77th session of the UN General A",0.202
MFA,150,2022-09-23,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Attends UN Security Council Foreign Ministers' Meeting on Ukraine Issue,"On September 22, 2022 local time, State Councilor and Foreign Minister Wang Yi attended the Security Council Foreign Ministers' Meeting on the Ukraine issue at the United Nations (UN) headquarters in New York. Wang Yi sa",0.088
MFA,151,2022-09-23,Ministry of Foreign Affairs of the People's Republic of China - News (English),The Right Way for China and the United States to Get Along in the New Era,"Speech by State Councilor and Foreign Minister Wang Yi at Asia Society New York, September 22, 2022 President Kevin Rudd of the Asia Society, Ladies and Gentlemen, It is good to be back in New York for the U.N. General A",0.081
MFA,152,2022-09-24,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Meets with UN Secretary-General António Guterres,"On September 23, 2022 local time, State Councilor and Foreign Minister Wang Yi met with UN Secretary-General António Guterres on the sidelines of the United Nations General Assembly in New York. Wang Yi said, the world t",0.158
MFA,153,2022-09-25,Ministry of Foreign Affairs of the People's Republic of China - News (English),Making Every Effort for Peace and Development and Shouldering the Responsibility for Solidarity and Progress,"Statement by H.E. Wang Yi State Councilor and Foreign Minister of The People's Republic of ChinaAt the General Debate of the 77th Session of The United Nations General Assembly New York, September 24, 2022 Mr. President,",0.129
Xinhua,186,2022-09-25,Xinhua,"China firmly upholds purposes, principles of UN charter: FM","UNITED NATIONS, Sept. 24 (Xinhua) -- China firmly upholds the purposes and principles of the UN Charter, and the core role being played by the United Nations in international affairs, Chinese State Councilor and Foreign ",0.148
Xinhua,187,2022-09-25,Xinhua,Chinese FM meets with UN chief,"NEW YORK, Sept. 23 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi met with UN Secretary-General Antonio Guterres here Friday on the sidelines of the 77th session of the UN General Assembly. Secretary-Ge",0.148
Xinhua,188,2022-09-25,Xinhua,"Chinese FM attends general debate of 77th session of UNGA, delivers speech","UNITED NATIONS, Sept. 24 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi on Saturday called on the international community to make every effort for peace and development, and shoulder the responsibility ",0.175
MFA,154,2022-09-26,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on September 26 2022,CCTV: State Councilor and Foreign Minister Wang Yi delivered a statement at the General Debate of the 77th Session of the United Nations General Assembly. Could you share more information on that? Wang Wenbin: On Septemb,0.052
MFA,155,2022-09-27,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Meets with President of the 77th Session of the United Nations General Assembly Csaba Kőrösi,"On September 24, 2022 local time, State Councilor and Foreign Minister Wang Yi met with the President of the 77th Session of the United Nations General Assembly Csaba Kőr&ouml;si on the sidelines of the UNGA session in N",0.173
Xinhua,189,2022-09-29,Xinhua,"Chinese-proposed initiatives support global solidarity, peace: Ethiopian official","ADDIS ABABA, Sept. 28 (Xinhua) -- The Chinese-proposed Global Development Initiative and Global Security Initiative will support global solidarity and peace toward stronger partnership and development, a senior Ethiopian",0.186
Xinhua,190,2022-09-29,Xinhua,"Roundup: Zambia, China hold forum to deepen trade, investment ties","LUSAKA, Sept. 28 (Xinhua) -- The first China-Zambia investment forum opened Wednesday in Lusaka, the capital of Zambia, with the two countries pledging to deepen trade and investment relations. Being held under the theme",0.101
Xinhua,191,2022-10-02,Xinhua,"China to continue support Lebanon in safeguarding sovereignty, independence: ambassador","BEIRUT, Oct. 1 (Xinhua) -- China will continue to support Lebanon in safeguarding sovereignty, independence and territorial integrity, and to actively participate in the UN peacekeeping missions, Chinese Ambassador to Le",0.154
Xinhua,192,2022-10-02,Xinhua,"Roundup: Foreign officials, experts wish 20th CPC National Congress success during celebrations of China's National Day","BEIJING, Oct. 2 (Xinhua) -- Chinese embassies and missions have held events to celebrate the 73rd anniversary of the founding of the People's Republic of China (PRC), during which foreign officials and experts expressed ",0.203
Xinhua,193,2022-10-02,Xinhua,Foreign leaders congratulate the People's Republic of China on 73rd founding anniversary,"BEIJING, Oct. 1 (Xinhua) -- Leaders of many countries and international organizations have recently telephoned or sent letters to Xi Jinping, general secretary of the Communist Party of China (CPC) Central Committee and ",0.194
Xinhua,194,2022-10-06,Xinhua,World Insights: World expects new march of CPC after extraordinary decade,"BEIJING, Oct. 6 (Xinhua) -- China's extraordinary achievements over the past 10 years have been widely acknowledged for raising living standards at home and bolstering global development. The upcoming 20th National Congr",0.09
Xinhua,195,2022-10-07,Xinhua,Roundup: Foreign leaders congratulate the People's Republic of China on 73rd founding anniversary,"BEIJING, Oct. 6 (Xinhua) -- Leaders of many countries and international organizations have recently telephoned or sent letters to Xi Jinping, general secretary of the Communist Party of China (CPC) Central Committee and ",0.188
Xinhua,196,2022-10-10,Xinhua,Vision with actions: China works for shared future for mankind,"BEIJING, Oct. 10 (Xinhua) -- Nearly a decade ago, when then newly-elected leadership of the Communist Party of China (CPC) made its debut at the Great Hall of People after the first plenary session of the 18th CPC Centra",0.159
Xinhua,197,2022-10-11,Xinhua,"Cold War mentality remains biggest threat to world peace, stability: Chinese envoy","UNITED NATIONS, Oct. 10 (Xinhua) -- The Cold War has been over for more than 30 years, but the Cold War mentality remains the biggest threat to peace and stability of the world, Li Song, the Chinese ambassador for disarm",0.013
MFA,156,2022-10-13,Ministry of Foreign Affairs of the People's Republic of China - News (English),Meeting Challenges with Stronger Solidarity and Coordination,"Remarks by H.E. Wang Qishan Vice President of the People's Republic of China At the Sixth Summit of the Conference On Interaction and Confidence-Building Measures in Asia October 13, 2022 Your Excellency President Kassym",0.161
MFA,157,2022-10-13,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Qishan Meets with Kazakh President Kassym-Jomart Tokayev and Attends the Sixth CICA Summit,"On October 13, 2022 local time, Kazakh President Kassym-Jomart Tokayev met with Chinese Vice President Wang Qishan in Astana. Wang Qishan conveyed President Xi Jinping's cordial greetings and best wishes to Tokayev. Reca",0.148
Xinhua,198,2022-10-14,Xinhua,"Chinese VP meets Kazakh president, attends CICA summit","ASTANA, Oct. 13 (Xinhua) -- Chinese Vice President Wang Qishan met with Kazakh President Kassym-Jomart Tokayev and participated in the sixth summit of the Conference on Interaction and Confidence Building Measures in Asi",0.161
Xinhua,199,2022-10-15,Xinhua,World Insights: China's modernization drive and its global inspiration,"BEIJING, Oct. 15 (Xinhua) -- In its unprecedented stride toward modernization, China has worked the twin miracles of rapid economic development and long-term social stability. While these achievements have amazed the glo",0.131
Xinhua,200,2022-10-16,Xinhua,"Roundup: Upcoming CPC national congress under global gaze for more contribution to world peace, development","BEIJING, Oct. 15 (Xinhua) -- The upcoming 20th National Congress of the Communist Party of China (CPC) will fully summarize China's major achievements and valuable experience gained in its reform and development endeavor",0.142
Xinhua,201,2022-10-17,Xinhua,"Roundup: Ruling parties in DPRK, Vietnam, Laos, Cuba congratulate CPC on landmark national congress","BEIJING, Oct. 16 (Xinhua) -- The 20th National Congress of the Communist Party of China (CPC) opened on Sunday. The central committees of the Workers' Party of Korea (WPK) of the Democratic People's Republic of Korea (DP",0.188
Xinhua,202,2022-10-17,Xinhua,Xinhua Headlines: China's commitment to the world in key CPC blueprint bolster global confidence,"BEIJING, Oct. 17 (Xinhua) -- A key report that charts the course for Chinese modernization drive highlighted on Sunday by the Communist Party of China (CPC) at its 20th national congress has drawn world attention. A grou",0.158
Xinhua,203,2022-10-17,Xinhua,Xinhua Headlines: China's commitment to the world in key CPC blueprint bolsters global confidence,"BEIJING, Oct. 17 (Xinhua) -- A key report that charts the course for Chinese modernization drive highlighted on Sunday by the Communist Party of China (CPC) at its 20th national congress has drawn world attention. A grou",0.158
MFA,158,2022-10-18,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on October 18 2022,CCTV: COVID-19 has highlighted the theoretical and practical value of the vision of a community with a shared future for mankind. UN Secretary-General António Guterres said that the purpose of practising multilateralism ,0.159
Xinhua,204,2022-10-18,Xinhua,(CPC Congress) China Focus: China's new journey a boon to world development,"BEIJING, Oct. 17 (Xinhua) -- A report delivered on Sunday by Xi Jinping at the 20th National Congress of the Communist Party of China (CPC) struck Sean Slattery as """"very forward-looking."""" Slattery was one of nine forei",0.201
MFA,159,2022-10-19,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on October 19 2022,CCTV: We noted that the Global Development Initiative put forward by President Xi Jinping a year ago has been widely supported and well received by the international community. Could you update us on anything about this ,0.12
Xinhua,205,2022-10-19,Xinhua,"World Insights: China's initiatives on development, security conducive to world peace, prosperity","BEIJING, Oct. 19 (Xinhua) -- With the 20th National Congress of the Communist Party of China (CPC) opening on Sunday, the world is paying close attention to the programs of action and overarching policies that will be fo",0.134
Xinhua,206,2022-10-19,Xinhua,Highlights of foreign congratulatory messages on 20th CPC National Congress (5),"BEIJING, Oct. 19 (Xinhua) -- Leaders of foreign political parties and governments worldwide have congratulated the Central Committee of the Communist Party of China (CPC) and General Secretary Xi Jinping of the committee",0.204
Xinhua,207,2022-10-19,Xinhua,China's nuclear strategy will not change: envoy,"UNITED NATIONS, Oct. 19 (Xinhua) -- China's nuclear strategy and policy have been long-standing and consistent with a high level of stability, continuity and predictability, Chinese Ambassador for Disarmament Affairs Li ",0.029
Xinhua,208,2022-10-20,Xinhua,(CPC Congress) China to persist in development of human community with shared future: vice FM,"BEIJING, Oct. 20 (Xinhua) -- China will promote with concrete actions the building of a community with a shared future for humanity and work to make the system of global governance fairer and more equitable, Vice Foreign",0.134
Xinhua,209,2022-10-20,Xinhua,Highlights of foreign congratulatory messages on 20th CPC National Congress (9),"BEIJING, Oct. 20 (Xinhua) -- Leaders of foreign political parties, government officials and lawmakers worldwide have congratulated the Central Committee of the Communist Party of China (CPC) and General Secretary Xi Jinp",0.096
Xinhua,210,2022-10-21,Xinhua,"Xinhua Headlines: How China contributes to fixing deficits in global development, governance","BEIJING, Oct. 21 (Xinhua) -- A protracted pandemic rarely seen in a century, the rising tide of de-globalization, a wobbling global economy ... the list of unprecedented challenges tormenting humanity as a whole seems un",0.081
Xinhua,211,2022-10-22,Xinhua,"Interview: China offers """"new path for modernization"""" for others -- U.S. scholar","by Xinhua writers Yang Shilong, Zhang Mocheng NEW YORK, Oct. 21 (Xinhua) -- China has made great achievements in building a modern socialist country under the leadership of the Communist Party of China (CPC), offering """"",0.076
MFA,160,2022-10-24,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on October 24 2022,"The Paper: October 24 marks the United Nations Day and the 77th anniversary of the UN. As a UN founding member and a permanent member of the Security Council, how does China view the UN's role in today's world? No long a",0.107
Xinhua,212,2022-10-24,Xinhua,"Roundup: Leaders of DPRK, Vietnam, Laos, Cuba congratulate Xi on election as general secretary of CPC Central Committee","BEIJING, Oct. 23 (Xinhua) -- Ruling party leaders of the Democratic People's Republic of Korea (DPRK), Vietnam, Laos and Cuba on Sunday respectively sent congratulations to Xi Jinping on his election as general secretary",0.21
Xinhua,213,2022-10-25,Xinhua,Profile: Xi Jinping leads China on new journey,"BEIJING, Oct. 24 (Xinhua) -- After 10 years at the helm of the Communist Party of China (CPC), Xi Jinping, 69, once again stood in front of reporters as the Party's top leader, vowing to lead the country to pursue nation",0.086
MFA,161,2022-10-26,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on October 26 2022,"At the invitation of Premier of the State Council Li Keqiang, Shehbaz Sharif, Prime Minister of the Islamic Republic of Pakistan, will pay an official visit to China starting from November 1. Dragon TV: You just announc",0.128
Xinhua,214,2022-10-26,Xinhua,Interview: ITU looks forward to further cooperation with China -- secretary-general,"GENEVA, Oct. 26 (Xinhua) -- China has made historic achievements in fields including poverty eradication, science and technology during the past decade, and the International Telecommunication Union (ITU) looks forward t",0.147
Xinhua,215,2022-10-26,Xinhua,"Interview: Chinese modernization a model adapted to its realities, vice president of French Senate","PARIS, Oct. 26 (Xinhua) -- The Chinese path to modernization, a model adapted to the realities of China, is """"important and must be respected,"""" Pierre Laurent, vice president of the French Senate, has said. The 20th Nat",0.085
Xinhua,216,2022-10-26,Xinhua,World Insights: China's far-reaching blueprint boosts global confidence,"BEIJING, Oct. 25 (Xinhua) -- The Communist Party of China (CPC), the ruling party of the world's second-largest economy, has unveiled its new top leadership. How the new leadership will steer China on its future voyage c",0.189
MFA,162,2022-10-28,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Attends and Addresses the General Debate of the 77th Session of the United Nations General Assembly,"On September 24, 2022 local time, State Councilor and Foreign Minister Wang Yi attended the General Debate of the 77th Session of the United Nations General Assembly at the UN headquarters in New York, and made a stateme",0.176
Xinhua,217,2022-10-28,Xinhua,World Insights: China's recipe for bigger pie of global development in new blueprint,"BEIJING, Oct. 28 (Xinhua) -- The world has been keeping tabs on one of China's most important meetings in its political calendar concluded last week to gauge the direction China will take in the next half-decade and beyo",0.112
MFA,163,2022-11-02,Ministry of Foreign Affairs of the People's Republic of China - News (English),President Xi Jinping Meets with Pakistani Prime Minister Muhammad Shehbaz Sharif,"On the morning of 2 November, President Xi Jinping met with Prime Minister Muhammad Shehbaz Sharif of Pakistan on his official visit to China at the Great Hall of the People. President Xi welcomed Prime Minister Sharif a",0.228
MFA,164,2022-11-02,Ministry of Foreign Affairs of the People's Republic of China - News (English),President Xi Jinping Meets with Pakistani Prime Minister Muhammad Shehbaz Sharif,"On the morning of 2 November, President Xi Jinping met with Prime Minister Muhammad Shehbaz Sharif of Pakistan on his official visit to China at the Great Hall of the People. President Xi welcomed Prime Minister Sharif a",0.228
MFA,165,2022-11-02,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Zhao Lijian's Regular Press Conference on November 2 2022,"People's Daily: On November 1, the 31st session of the Arab League (AL) summit kicked off in Algeria. President Xi Jinping sent a congratulatory message to Algerian President Abdelmadjid Tebboune, the rotating president ",0.162
MFA,166,2022-11-02,Ministry of Foreign Affairs of the People's Republic of China - News (English),Joint Statement between the People's Republic of China and the Islamic Republic of Pakistan,"1. H.E. Mr. Shehbaz Sharif, Prime Minister of the Islamic Republic of Pakistan, undertook an official visit to the People's Republic of China from 1-2 November 2022. This was the Prime Minister's first bilateral visit af",0.161
Xinhua,218,2022-11-02,Xinhua,2nd LD-Writethru: Xi meets Pakistani PM,"BEIJING, Nov. 2 (Xinhua) -- Chinese President Xi Jinping met with Prime Minister Muhammad Shehbaz Sharif of Pakistan on his official visit to China at the Great Hall of the People on Wednesday. Xi welcomed Sharif and tha",0.232
MFA,167,2022-11-03,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Zhao Lijian's Regular Press Conference on November 3 2022,"China Daily: On November 2 Beijing time, resolutions on """"no first placement of weapons in outer space"""" and """"further practical measures for the prevention of an arms race in outer space"""" were adopted at the 77th sessi",0.112
Xinhua,219,2022-11-03,Xinhua,"Interview: Pakistan, China have shared destiny, says Pakistan's PM","BEIJING, Nov. 3 (Xinhua) -- Pakistan will work with China to promote a shared destiny of achievements and progress, and foster peace and harmony in the region and the world at large, Prime Minister of Pakistan Shehbaz Sh",0.189
MFA,168,2022-11-12,Ministry of Foreign Affairs of the People's Republic of China - News (English),Speech by H.E. Li Keqiang Premier of the State Council of the People's Republic of China At the 25th China-ASEAN Summit,"Phnom Penh, November 11, 2022 Prime Minister Hun Sen, Colleagues, It is my real pleasure to gather with you in the beautiful and vibrant city of Phnom Penh for the 25th China-ASEAN Summit. I wish to thank Prime Minister ",0.178
MFA,169,2022-11-12,Ministry of Foreign Affairs of the People's Republic of China - News (English),Speech by H.E. Li Keqiang Premier of the State Council of the People's Republic of China At the 25th China-ASEAN Summit,"Phnom Penh, November 11, 2022 Prime Minister Hun Sen, Colleagues, It is my real pleasure to gather with you in the beautiful and vibrant city of Phnom Penh for the 25th China-ASEAN Summit. I wish to thank Prime Minister ",0.179
MFA,170,2022-11-13,Ministry of Foreign Affairs of the People's Republic of China - News (English),Speech by H.E. Li Keqiang Premier of the State Council of the People's Republic of China At the 17th East Asia Summit,"Phnom Penh, November 13, 2022 Prime Minister Hun Sen, Colleagues, It gives me great pleasure to join you in the beautiful city of Phnom Penh. I want to thank Prime Minister Hun Sen and the government of the Kingdom of Ca",0.153
Xinhua,220,2022-11-13,Xinhua,World Insights: True multilateralism indispensable for addressing global governance challenges,"BEIJING, Nov. 13 (Xinhua) -- The future of mankind is overshadowed by uncertainties caused by a series of global challenges and a truly multilateral approach is essential to addressing those crises, argued experts and of",0.002
